Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
71912,WHS3_62,COUNTRY,SLE,AFR,YEAR,Africa,,,1987,,,,,,,1000,1000.0,,,,2025-07-14T16:36:19.017+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
72571,WHS3_62,COUNTRY,CHE,EUR,YEAR,Europe,,,1987,,,,,,,7400,7400.0,,,,2025-07-14T16:36:19.017+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
73308,WHS3_62,COUNTRY,ETH,AFR,YEAR,Africa,,,2009,,,,,,,1176,1176.0,,,,2025-07-14T16:36:19.017+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
76422,WHS3_62,COUNTRY,NER,AFR,YEAR,Africa,,,1985,,,,,,,64 689,64689.0,,,,2025-07-14T16:36:19.017+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
76726,WHS3_62,COUNTRY,VCT,AMR,YEAR,Americas,,,2004,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
77924,WHS3_62,COUNTRY,CAN,AMR,YEAR,Americas,,,2008,,,,,,,62,62.0,,,,2025-07-14T16:36:19.017+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
79907,WHS3_62,COUNTRY,MYS,WPR,YEAR,Western Pacific,,,2019,,,,,,,1077,1077.0,,,,2025-07-14T16:36:19.017+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
82820,WHS3_62,COUNTRY,MUS,AFR,YEAR,Africa,,,2022,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
83771,WHS3_62,COUNTRY,MDV,SEAR,YEAR,South-East Asia,,,1979,,,,,,,1524,1524.0,,,,2025-07-14T16:36:19.017+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
85459,WHS3_62,COUNTRY,ZAF,AFR,YEAR,Africa,,,2020,,,,,,,40,40.0,,,,2025-07-14T16:36:19.017+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
90519,WHS3_62,COUNTRY,NCL,WPR,YEAR,Western Pacific,,,1997,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
92960,WHS3_62,COUNTRY,PRT,EUR,YEAR,Europe,,,2007,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
98868,WHS3_62,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,,1986,,,,,,,27 136,27136.0,,,,2025-07-14T16:36:19.017+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
103256,WHS3_62,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,33 007,33007.0,,,,2025-07-14T16:36:19.017+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
103460,WHS3_62,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,,2002,,,,,,,9559,9559.0,,,,2025-07-14T16:36:19.017+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
105294,WHS3_62,COUNTRY,SRB,EUR,YEAR,Europe,,,2019,,,,,,,22,22.0,,,,2025-07-14T16:36:19.017+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
109593,WHS3_62,COUNTRY,PAN,AMR,YEAR,Americas,,,1999,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
109652,WHS3_62,COUNTRY,ALB,EUR,YEAR,Europe,,,2011,,,,,,,28,28.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
111154,WHS3_62,COUNTRY,PLW,WPR,YEAR,Western Pacific,,,2000,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
115540,WHS3_62,COUNTRY,ATG,AMR,YEAR,Americas,,,1992,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
121348,WHS3_62,COUNTRY,DOM,AMR,YEAR,Americas,,,1993,,,,,,,4637,4637.0,,,,2025-07-14T16:36:19.017+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
123022,WHS3_62,COUNTRY,POL,EUR,YEAR,Europe,,,2024,,,,,,,272,272.0,,,,2025-07-14T16:36:19.017+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
123064,WHS3_62,COUNTRY,MDV,SEAR,YEAR,South-East Asia,,,1991,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
123301,WHS3_62,COUNTRY,MDA,EUR,YEAR,Europe,,,2010,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
123620,WHS3_62,GLOBAL,GLOBAL,,YEAR,,,,1988,,,,,,,1 663 940,1663940.0,,,,2025-07-14T16:36:19.017+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
127352,WHS3_62,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,,1998,,,,,,,550,550.0,,,,2025-07-14T16:36:19.017+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
127389,WHS3_62,COUNTRY,NGA,AFR,YEAR,Africa,,,1997,,,,,,,21 385,21385.0,,,,2025-07-14T16:36:19.017+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
127897,WHS3_62,COUNTRY,SYR,EMR,YEAR,Eastern Mediterranean,,,2003,,,,,,,801,801.0,,,,2025-07-14T16:36:19.017+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
128886,WHS3_62,COUNTRY,PNG,WPR,YEAR,Western Pacific,,,1987,,,,,,,10 206,10206.0,,,,2025-07-14T16:36:19.017+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
133289,WHS3_62,COUNTRY,ETH,AFR,YEAR,Africa,,,2008,,,,,,,3511,3511.0,,,,2025-07-14T16:36:19.017+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
135173,WHS3_62,COUNTRY,WLF,WPR,YEAR,Western Pacific,,,1995,,,,,,,13,13.0,,,,2025-07-14T16:36:19.017+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
