Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6948157,WHS3_49,COUNTRY,NZL,YEAR,WPR,Western Pacific,,,2006,,,,,,,0,0.0,,,,2019-09-11T08:28:52+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6951195,WHS3_49,COUNTRY,DMA,YEAR,AMR,Americas,,,1998,,,,,,,0,0.0,,,,2019-09-11T08:28:05+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
6951349,WHS3_49,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,,2000,,,,,,,4,4.0,,,,2019-09-11T08:28:25+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6951494,WHS3_49,COUNTRY,MUS,YEAR,AFR,Africa,,,2018,,,,,,,0,0.0,,,,2019-09-11T08:28:44+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6953791,WHS3_49,COUNTRY,BEL,YEAR,EUR,Europe,,,2012,,,,,,,0,0.0,,,,2019-09-11T08:27:42+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6953814,WHS3_49,COUNTRY,PRY,YEAR,AMR,Americas,,,2003,,,,,,,0,0.0,,,,2019-09-11T08:29:02+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6954091,WHS3_49,COUNTRY,AUS,YEAR,WPR,Western Pacific,,,2011,,,,,,,0,0.0,,,,2019-09-11T08:27:37+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6954688,WHS3_49,COUNTRY,TUV,YEAR,WPR,Western Pacific,,,1995,,,,,,,0,0.0,,,,2019-09-11T08:29:31+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6955664,WHS3_49,COUNTRY,LBR,YEAR,AFR,Africa,,,2013,,,,,,,0,0.0,,,,2019-09-11T08:28:35+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6958967,WHS3_49,COUNTRY,CIV,YEAR,AFR,Africa,,,2010,,,,,,,0,0.0,,,,2019-09-11T08:27:59+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6959342,WHS3_49,GLOBAL,GLOBAL,YEAR,,,,,1997,,,,,,,5186,5186.0,,,,2019-09-11T08:29:44+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6959870,WHS3_49,COUNTRY,COK,YEAR,WPR,Western Pacific,,,1986,,,,,,,0,0.0,,,,2019-09-11T08:27:58+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
6960279,WHS3_49,COUNTRY,BLR,YEAR,EUR,Europe,,,2009,,,,,,,0,0.0,,,,2019-09-11T08:27:41+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6962658,WHS3_49,COUNTRY,HTI,YEAR,AMR,Americas,,,2011,,,,,,,0,0.0,,,,2019-09-11T08:28:20+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6964562,WHS3_49,COUNTRY,BFA,YEAR,AFR,Africa,,,2012,,,,,,,0,0.0,,,,2019-09-11T08:27:48+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6966929,WHS3_49,COUNTRY,TJK,YEAR,EUR,Europe,,,2005,,,,,,,0,0.0,,,,2019-09-11T08:29:26+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6967494,WHS3_49,COUNTRY,ATG,YEAR,AMR,Americas,,,1990,,,,,,,0,0.0,,,,2019-09-11T08:27:35+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
6968039,WHS3_49,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,,,1981,,,,,,,40,40.0,,,,2019-09-11T08:29:29+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
6968838,WHS3_49,COUNTRY,COD,YEAR,AFR,Africa,,,1983,,,,,,,194,194.0,,,,2019-09-11T08:28:03+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
